10-09-09:53:12:621  : 偏差值：CCD1,0.345,44.15
10-09-10:03:10:468  : 偏差值：CCD1,0.289,44.03
10-09-10:07:37:378  : 偏差值：CCD1,0.299,44.016
10-09-10:11:03:842  : 偏差值：CCD1,0.273,44.196
10-09-10:45:13:712  : 偏差值：CCD1,0.234,44.097
10-09-10:52:56:525  : 偏差值：CCD1,0.267,44.064
10-09-11:02:06:372  : 偏差值：CCD1,0.29,43.969
10-09-11:09:05:367  : 偏差值：CCD1,0.271,44.032
10-09-11:16:46:673  : 偏差值：CCD1,0.27,44
10-09-11:24:43:381  : 偏差值：CCD1,0.27,44.014
10-09-11:33:08:899  : 偏差值：CCD1,0.236,44.666
10-09-13:05:30:768  : 偏差值：CCD1,0.273,43.986
10-09-13:10:34:868  : 偏差值：CCD1,0.274,43.925
10-09-13:27:34:379  : 偏差值：CCD1,0.279,43.891
10-09-13:36:05:407  : 偏差值：CCD1,0.308,44.191
10-09-13:47:06:788  : 偏差值：CCD1,0.285,44.02
10-09-13:52:22:186  : 偏差值：CCD1,0.288,43.99
10-09-13:59:21:195  : 偏差值：CCD1,0.316,44.064
10-09-14:12:07:750  : 偏差值：CCD1,0.315,44.708
10-09-14:19:10:774  : 偏差值：CCD1,0.35,41.072
10-09-14:24:36:891  : 偏差值：CCD1,0.346,41.056
10-09-14:27:54:558  : 偏差值：CCD1,0.283,43.931
10-09-14:38:01:809  : 偏差值：CCD1,0.308,44.272
10-09-14:45:06:348  : 偏差值：CCD1,0.283,44.125
10-09-14:53:51:811  : 偏差值：CCD1,0.319,44.284
10-09-15:02:38:816  : 偏差值：CCD1,0.343,43.187
10-09-15:27:38:721  : 偏差值：CCD1,0.28,44.14
10-09-15:31:43:311  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-09-15:35:16:929  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-09-15:40:36:234  : 复检值：CCD1,3.431,3.428,0.033,0.376,3.331,3.58,0.076,0.273,3.143,3.342,0.205,0.003,3.198,3.52,0.028,0.407,1.976,0.906
10-09-16:12:15:145  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-09-16:13:22:223  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-09-16:18:43:437  : 偏差值：CCD1,0.311,43.983
10-09-16:22:36:065  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-09-16:27:25:039  : 复检值：CCD1,3.339,3.394,0.033,0.376,3.385,3.535,0.076,0.273,3.487,3.093,0.205,0.003,3.198,3.405,0.028,0.407,1.976,0.906
10-09-16:34:45:423  : 偏差值：CCD1,0.323,43.647
10-09-16:35:53:646  : 偏差值：CCD1,0.301,43.578
10-09-16:40:25:004  : 复检值：CCD1,3.302,3.346,0.033,0.376,3.479,3.515,0.076,0.273,3.468,3.152,0.205,0.003,3.211,3.392,0.028,0.407,1.976,0.906
10-09-16:44:47:488  : 偏差值：CCD1,0.337,43.874
10-09-16:49:23:912  : 复检值：CCD1,3.302,3.335,0.033,0.376,3.461,3.511,0.076,0.273,3.441,3.143,0.205,0.003,3.228,3.401,0.028,0.407,1.976,0.906
