10-13-09:03:35:735  : 偏差值：CCD1,0.313,40.15
10-13-09:04:42:348  : 偏差值：CCD1,0.304,40.122
10-13-09:11:28:894  : 复检值：CCD1,3.809,3.19,0.033,0.376,3.251,3.44,0.076,0.273,3.411,3.027,0.205,0.003,3.384,2.948,0.028,0.407,1.023,3.31
10-13-09:16:18:822  : 偏差值：CCD1,0.266,41.311
10-13-09:20:10:311  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-13-09:27:16:215  : 偏差值：CCD1,0.398,41.252
10-13-09:47:46:194  : 偏差值：CCD1,3.572,42.429
10-13-09:49:59:208  : 偏差值：CCD1,3.571,43.155
10-13-09:52:13:649  : 偏差值：CCD1,999,999
10-13-09:58:06:634  : 偏差值：CCD1,0.258,49.315
10-13-10:00:13:935  : 偏差值：CCD1,0.259,44.521
10-13-10:35:25:346  : 偏差值：CCD1,0.413,42.48
10-13-10:42:54:889  : 偏差值：CCD1,999,999
10-13-11:07:45:289  : 偏差值：CCD1,0.374,43.989
10-13-11:11:51:885  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-13-11:15:36:208  : 复检值：CCD1,3.333,3.352,0.033,0.376,3.39,3.548,0.076,0.273,3.59,3.503,0.205,0.003,3.175,3.306,0.028,0.407,1.245,2.542
10-13-11:31:15:150  : 偏差值：CCD1,0.434,44.12
10-13-11:35:27:674  : 复检值：CCD1,3.583,3.373,0.033,0.376,3.436,3.573,0.076,0.273,3.626,3.203,0.205,0.003,3.303,3.294,0.028,0.407,1.268,1.611
10-13-11:49:49:925  : 偏差值：CCD1,0.378,43.653
10-13-13:12:52:685  : 偏差值：CCD1,0.363,44.001
10-13-13:21:19:838  : 偏差值：CCD1,0.386,44.268
10-13-13:25:14:060  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-13-13:31:50:086  : 偏差值：CCD1,0.338,43.906
10-13-13:35:32:707  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-13-13:47:04:452  : 偏差值：CCD1,0.358,43.885
10-13-13:50:38:111  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-13-13:59:57:174  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-13-14:03:50:771  : 复检值：CCD1,3.266,3.405,0.033,0.376,3.452,3.501,0.076,0.273,3.491,3.204,0.205,0.003,3.327,3.412,0.028,0.407,2.016,1.5
10-13-14:10:35:819  : 偏差值：CCD1,0.306,43.976
10-13-14:13:38:296  : 偏差值：CCD1,0.301,43.963
10-13-14:17:22:632  : 复检值：CCD1,3.26,3.329,0.033,0.376,3.391,3.449,0.076,0.273,3.501,3.204,0.205,0.003,3.321,3.587,0.028,0.407,8.872,1.887
10-13-14:26:47:804  : 偏差值：CCD1,0.28,43.797
10-13-14:30:21:408  : 复检值：CCD1,3.324,3.404,0.033,0.376,3.427,3.623,0.076,0.273,3.453,3.23,0.205,0.003,3.318,3.496,0.028,0.407,1.776,1.076
10-13-15:25:40:930  : 偏差值：CCD1,0.274,43.7
10-13-15:36:20:286  : 偏差值：CCD1,0.363,43.858
10-13-15:39:29:134  : 偏差值：CCD1,0.31,43.764
10-13-15:42:54:446  : 复检值：CCD1,3.245,3.288,0.033,0.376,3.343,3.458,0.076,0.273,3.362,3.245,0.205,0.003,3.351,3.508,0.028,0.407,3.881,1.214
10-13-20:27:48:470  : 偏差值：CCD1,0.298,43.733,1.931,2.122,-10.77,2.027
10-13-20:40:33:850  : 偏差值：CCD1,0.268,43.844,1.905,2.07,-8.792,1.987
10-13-20:52:09:341  : 偏差值：CCD1,0.282,44.037,1.913,2.076,-7.892,1.994
10-13-20:58:08:126  : 偏差值：CCD1,0.264,43.896,1.89,2.06,-6.033,1.975
10-13-21:05:02:633  : 偏差值：CCD1,0.223,44.006,1.868,2.028,-8.239,1.948
10-13-21:17:30:735  : 偏差值：CCD1,0.317,43.769,1.985,2.08,-8.045,2.033
10-13-21:24:08:966  : 偏差值：CCD1,0.354,43.74,2.043,2.121,-8.69,2.082
10-13-21:31:09:583  : 偏差值：CCD1,0.358,44.373,2.002,2.159,-7.53,2.08
10-13-21:36:45:857  : 偏差值：CCD1,0.309,43.788,1.939,2.132,-8.513,2.035
10-13-21:42:12:138  : 偏差值：CCD1,0.308,44.032,1.967,2.096,-9.144,2.031
10-13-21:48:51:879  : 偏差值：CCD1,0.332,43.693,1.986,2.129,-8.764,2.057
