09-29-14:29:28:032  : 偏差值：CCD1,0.219,43.798
09-29-14:33:47:747  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-29-14:35:15:676  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-29-15:10:49:533  : 复检值：CCD1,0.124,0.027,0.173,0.03,0.169,0.014,0.344,0.016,0.644,0.293,0.058,0.021,0.479,1.026,0.1,0.421,1.075,0.911
09-29-15:12:07:658  : 复检值：CCD1,0.124,0.024,0.177,0.031,0.173,0.015,0.351,0.016,0.652,0.292,0.052,0.02,0.478,0.045,0.1,0.031,1.124,0.905
09-29-15:13:56:318  : 复检值：CCD1,0.128,0.029,0.172,0.038,0.165,0.015,0.352,0.012,0.656,0.34,0.042,0.07,0.46,0.041,0.102,0.42,1.123,0.899
09-29-15:19:28:603  : 偏差值：CCD1,0.36,44.101
09-29-15:23:44:682  : 复检值：CCD1,0.132,0.027,0.209,0.032,0.213,0.069,0.215,0.014,0.523,0.299,0.231,0.097,0.15,1.007,0.157,0.47,1.169,6.13
09-29-15:28:02:499  : 偏差值：CCD1,0.374,43.296
09-29-15:32:26:428  : 复检值：CCD1,0.085,0.103,0.19,0.031,0.182,0.018,0.245,0.008,0.531,0.391,0.371,0.115,0.464,0.042,0.201,0.362,1.138,2.904
09-29-15:36:23:503  : 偏差值：CCD1,0.392,44.283
09-29-15:40:39:457  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-29-15:43:28:910  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-29-15:46:50:010  : 复检值：CCD1,0.102,0.071,0.192,0.028,0.178,0.018,0.219,0.015,0.499,0.188,0.045,0.023,0.271,0.044,0.107,0.044,1.175,1.153
09-29-15:50:48:086  : 偏差值：CCD1,0.457,44.104
09-29-15:55:04:277  : 复检值：CCD1,0.143,0.035,0.215,0.032,0.217,0.015,0.265,0.012,0.588,0.189,0.07,0.029,0.194,0.084,0.158,0.01,1.134,5.109
09-29-16:02:22:874  : 偏差值：CCD1,0.485,44.347
09-29-16:06:39:937  : 复检值：CCD1,0.119,0.121,0.24,0.033,0.229,0.016,0.301,0.01,0.658,0.255,0.031,0.028,0.186,0.164,0.204,0.025,1.174,0.629
09-29-16:10:41:157  : 偏差值：CCD1,0.461,44.276
09-29-16:15:34:418  : 复检值：CCD1,0.116,0.064,0.219,0.034,0.203,0.014,0.274,0.011,0.575,0.23,0.023,0.026,0.188,0.417,0.143,0.029,0.93,3.193
09-29-16:30:34:232  : 偏差值：CCD1,0.379,44.177
09-29-16:34:38:669  : 复检值：CCD1,0.108,0.11,0.195,0.032,0.192,0.016,0.253,0.016,0.57,0.189,0.018,0.027,0.199,0.089,0.109,0.18,1.093,2.519
09-29-16:39:32:748  : 偏差值：CCD1,0.421,44.257
09-29-16:43:49:076  : 复检值：CCD1,0.055,0.037,0.231,0.032,0.235,0.017,0.284,0.016,0.597,0.223,0.106,0.024,0.361,0.041,0.208,0.019,1.105,2.864
09-29-16:48:33:143  : 偏差值：CCD1,0.345,44.051
09-29-16:52:52:745  : 复检值：CCD1,0.04,0.108,0.188,0.033,0.164,0.018,0.239,0.012,0.561,0.192,0.067,0.024,0.414,0.855,0.16,0.088,1.161,1.022
