09-30-11:30:45:361  : 偏差值：CCD1,0.458,44.024
09-30-11:35:35:242  : 复检值：CCD1,0.121,0.033,0.295,0.031,0.302,0.008,0.295,0.004,0.636,0.141,0.086,0.001,0.262,0.703,0.333,0.208,1.197,0.692
09-30-11:42:33:219  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-13:41:53:613  : 偏差值：CCD1,0.356,43.855
09-30-13:46:12:967  : 复检值：CCD1,0.241,0.228,0.004,0.097,0.253,0.009,0.271,0.021,0.183,0.306,0.047,0.073,0.32,0.776,0.15,0.024,1.131,0.608
09-30-13:55:27:453  : 偏差值：CCD1,0.35,43.894
09-30-13:59:44:450  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-14:07:02:578  : 偏差值：CCD1,0.353,43.906
09-30-14:11:32:554  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-14:18:07:523  : 偏差值：CCD1,0.358,44.033
09-30-14:22:27:003  : 复检值：CCD1,0.24,0.266,0.004,0.098,0.206,0.01,0.485,0.012,0.027,0.378,0.325,0.017,0.522,1.091,0.083,0.085,4.419,1.195
09-30-14:28:15:102  : 偏差值：CCD1,0.335,43.912
09-30-14:32:51:379  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-14:38:56:224  : 偏差值：CCD1,999,999
09-30-14:46:47:700  : 偏差值：CCD1,999,999
09-30-14:48:12:227  : 偏差值：CCD1,0.29,44.123
09-30-14:52:26:124  : 复检值：CCD1,0.058,0.215,0.005,0.054,0.083,0.028,0.418,0.037,0.118,0.279,0.247,0.016,0.338,1.075,0.078,0.122,1.177,0.795
09-30-14:57:14:178  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-14:58:24:039  : 复检值：CCD1,0.029,0.228,0.003,0.034,0.124,0.021,0.121,0.06,0.092,0.258,0.259,0.015,0.039,1.168,0.008,0.081,1.166,0.825
09-30-15:02:48:333  : 偏差值：CCD1,0.308,43.882
09-30-15:07:07:520  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-15:08:21:181  : 复检值：CCD1,0.041,0.213,0.004,0.102,0.146,0.115,0.137,0.041,0.028,0.403,0.31,0.012,0.06,1.213,0.007,0.091,1,0.872
09-30-15:14:48:497  : 偏差值：CCD1,0.379,44.061
09-30-15:19:27:006  : 复检值：CCD1,0.039,0.256,0.006,0.107,0.119,0.115,0.164,0.06,0.139,0.335,0.186,0.013,0.104,1.109,0.008,0.221,1.071,0.575
09-30-15:24:36:815  : 偏差值：CCD1,0.332,43.946
09-30-15:29:05:207  : 复检值：CCD1,0.025,0.199,0.002,0.091,0.073,0.071,0.092,0.027,0.097,0.348,0.111,0.013,0.088,1.216,0.006,0.182,1.192,1.042
09-30-15:34:40:371  : 偏差值：CCD1,0.294,44.119
09-30-15:39:08:880  : 复检值：CCD1,0.026,0.224,0.003,0.086,0.005,0.17,0.118,0.013,0.093,0.385,0.144,0.008,0.165,1.241,0.008,0.231,1.101,0.871
09-30-15:48:25:458  : 偏差值：CCD1,0.349,43.941
09-30-15:52:56:684  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-16:02:02:603  : 复检值：CCD1,0.016,0.367,0.02,0.101,0.002,0.004,0.017,0.225,0.163,0.329,0.025,0.005,0.14,0.855,0.302,0.928,0.56,0.607
09-30-16:06:26:465  : 偏差值：CCD1,0.354,44
09-30-16:10:55:773  : 复检值：CCD1,0.01,0.367,0.024,0.012,0.015,0.017,0.101,0.28,0.17,0.296,0.051,0.004,0.282,0.139,0.4,0.868,1.135,0.65
09-30-16:15:58:298  : 偏差值：CCD1,0.333,43.804
09-30-16:21:17:496  : 复检值：CCD1,0.011,0.408,0.017,0.078,0.003,0.004,0.04,0.267,0.201,0.274,0.021,0.005,0.207,0.382,0.013,0.394,112.702,0.766
09-30-16:26:38:560  : 偏差值：CCD1,0.35,44.002
09-30-16:31:42:633  : 复检值：CCD1,0.012,0.393,0.015,0.07,0.002,0.012,0.028,0.203,0.184,0.302,0.074,0.003,0.276,0.789,0.432,0.824,0.577,0.712
09-30-16:36:33:308  : 偏差值：CCD1,0.339,44.012
09-30-16:41:26:379  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-16:45:28:872  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-16:48:06:608  : 复检值：CCD1,0.012,0.342,0.12,0.106,0.009,0.015,0.265,0.256,0.237,0.189,0.132,0.005,0.368,0.431,0.014,0.343,1.008,1.09
09-30-16:52:13:993  : 偏差值：CCD1,0.392,44.083
09-30-16:56:33:674  : 复检值：CCD1,0.008,0.355,0.079,0.015,0.067,0.052,0.097,0.4,0.234,0.257,0.084,0.005,0.049,0.321,0.012,0.369,0.62,0.61
09-30-17:00:30:894  : 偏差值：CCD1,0.374,43.992
09-30-17:04:48:739  : 复检值：CCD1,0.021,0.295,0.123,0.082,0.008,0.228,0.101,0.189,0.243,0.233,0.16,0.007,0.323,0.518,0.017,0.27,1.109,0.67
09-30-17:08:44:156  : 偏差值：CCD1,0.35,43.805
09-30-17:13:00:878  : 复检值：CCD1,0.032,0.239,0.124,0.052,0.012,0.014,0.068,0.225,0.261,0.126,0.034,0.003,0.074,0.908,0.136,0.247,1.213,0.393
09-30-17:17:53:258  : 偏差值：CCD1,0.457,44.426
09-30-17:22:23:384  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
09-30-17:27:22:087  : 复检值：CCD1,0.02,0.233,0.058,0.031,0.02,0.008,0.042,0.196,0.155,0.248,0.087,0.007,0.148,0.961,0.017,0.255,2.062,0.726
09-30-17:32:19:366  : 偏差值：CCD1,0.431,47.424
09-30-17:35:28:354  : 偏差值：CCD1,0.348,43.974
09-30-17:39:49:603  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
