10-11-13:36:45:710  : 偏差值：CCD1,0.426,43.85
10-11-13:39:05:930  : 偏差值：CCD1,0.428,43.834
10-11-13:49:35:025  : 偏差值：CCD1,0.308,43.765
10-11-13:56:03:137  : 偏差值：CCD1,0.351,43.839
10-11-14:00:53:740  : 复检值：CCD1,3.275,3.271,0.033,0.376,3.322,3.509,0.076,0.273,3.538,3.162,0.205,0.003,3.189,3.208,0.028,0.407,1.976,0.906
10-11-14:08:21:964  : 偏差值：CCD1,0.336,43.909
10-11-14:13:34:014  : 偏差值：CCD1,999,999
10-11-14:14:45:826  : 偏差值：CCD1,0.386,44.268
10-11-14:18:50:384  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-11-14:26:15:805  : 偏差值：CCD1,0.458,43.904
10-11-14:30:55:208  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-11-14:45:20:271  : 偏差值：CCD1,0.326,43.764
10-11-14:49:28:878  : 复检值：CCD1,3.463,3.35,0.033,0.376,3.384,3.603,0.076,0.273,3.519,3.277,0.205,0.003,3.261,3.197,0.028,0.407,1.976,0.906
10-11-14:57:29:629  : 偏差值：CCD1,0.292,43.648
10-11-15:01:22:731  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-11-15:16:34:164  : 偏差值：CCD1,0.449,43.89
10-11-15:22:17:403  : 复检值：CCD1,3.385,3.246,0.033,0.376,2.868,3.382,0.076,0.273,3.489,3.158,0.205,0.003,3.369,3.319,0.028,0.407,1.976,0.906
10-11-15:35:54:315  : 偏差值：CCD1,0.408,43.895
10-11-15:39:48:508  : 复检值：CCD1,3.245,3.33,0.033,0.376,3.372,3.389,0.076,0.273,3.625,3.156,0.205,0.003,3.209,3.215,0.028,0.407,1.976,0.906
10-11-15:48:58:621  : 偏差值：CCD1,0.398,43.864
10-11-15:52:58:322  : 复检值：CCD1,3.45,3.317,0.033,0.376,3.337,3.737,0.076,0.273,3.519,3.756,0.205,0.003,3.872,3.429,0.028,0.407,1.976,0.906
10-11-16:10:36:086  : 偏差值：CCD1,0.202,43.808
10-11-16:15:32:935  : 复检值：CCD1,3.441,3.274,0.033,0.376,3.353,3.773,0.076,0.273,3.702,3.319,0.205,0.003,2.835,3.287,0.028,0.407,0.694,1.827
10-11-16:28:27:200  : 偏差值：CCD1,0.288,44.191
10-11-16:42:05:807  : 复检值：CCD1,3.201,3.427,0.033,0.376,3.461,3.456,0.076,0.273,3.49,2.848,0.205,0.003,3.289,3.261,0.028,0.407,0.297,2.234
10-11-17:03:45:786  : 偏差值：CCD1,0.237,43.58
10-11-17:08:01:036  : 复检值：CCD1,3.286,3.351,0.033,0.376,3.374,3.357,0.076,0.273,3.358,3.201,0.205,0.003,3.282,3.245,0.028,0.407,1.041,1.644
10-11-18:07:33:057  : 偏差值：CCD1,0.256,43.949
10-11-18:12:07:848  : 复检值：CCD1,3.442,3.287,0.033,0.376,3.246,3.398,0.076,0.273,3.307,3.291,0.205,0.003,3.221,3.436,0.028,0.407,0.157,3.849
10-11-18:15:09:416  : 偏差值：CCD1,0.393,43.292
10-11-18:19:13:933  : 复检值：CCD1,3.452,3.275,0.033,0.376,3.281,3.364,0.076,0.273,3.263,3.308,0.205,0.003,2.822,3.217,0.028,0.407,2.727,3.972
10-11-18:29:01:119  : 偏差值：CCD1,0.505,43.77
10-11-18:36:36:246  : 复检值：CCD1,3.448,3.28,0.033,0.376,3.28,3.145,0.076,0.273,3.273,2.587,0.205,0.003,3.255,3.436,0.028,0.407,0.626,7.912
10-11-18:42:45:920  : 偏差值：CCD1,0.382,44.105
10-11-18:48:34:729  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-11-18:49:47:219  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-11-18:51:19:952  : 复检值：CCD1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
10-11-18:58:29:071  : 偏差值：CCD1,0.373,43.665
10-11-19:02:16:857  : 复检值：CCD1,3.492,3.341,0.033,0.376,3.266,3.383,0.076,0.273,3.47,3.773,0.205,0.003,3.617,3.399,0.028,0.407,2.522,3.756
10-11-19:06:48:046  : 偏差值：CCD1,0.215,43.674
10-11-19:08:01:814  : 偏差值：CCD1,0.21,43.651
10-11-19:12:14:881  : 复检值：CCD1,3.479,3.56,0.033,0.376,3.366,3.61,0.076,0.273,3.921,3.403,0.205,0.003,2.733,3.266,0.028,0.407,1.015,1.974
10-11-19:13:41:013  : 复检值：CCD1,3.432,3.57,0.033,0.376,3.371,3.428,0.076,0.273,3.916,3.414,0.205,0.003,2.741,3.312,0.028,0.407,0.891,2.063
10-11-19:27:11:498  : 偏差值：CCD1,0.241,43.586
10-11-19:31:14:910  : 复检值：CCD1,3.302,3.329,0.033,0.376,3.37,3.408,0.076,0.273,3.379,3.195,0.205,0.003,3.458,3.252,0.028,0.407,1.178,1.941
10-11-19:35:02:833  : 偏差值：CCD1,0.196,44.143
10-11-19:39:39:967  : 复检值：CCD1,3.389,3.231,0.033,0.376,3.148,3.321,0.076,0.273,3.172,3.153,0.205,0.003,3.091,3.118,0.028,0.407,1.802,1.035
10-11-19:41:54:761  : 偏差值：CCD1,0.206,43.316
10-11-19:45:43:956  : 复检值：CCD1,3.344,3.244,0.033,0.376,3.247,3.361,0.076,0.273,3.387,3.156,0.205,0.003,3.171,3.448,0.028,0.407,1.456,5.294
