10-13-11:35:17:629  : 相机 Received: 84 50 59 53 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-11:35:27:666  : 相机 Received: 67 67 68 49 44 51 46 53 56 51 44 51 46 51 55 51 44 48 46 48 51 51 44 48 46 51 55 54 44 51 46 52 51 54 44 51 46 53 55 51 44 48 46 48 55 54 44 48 46 50 55 51 44 51 46 54 50 54 44 51 46 50 48 51 44 48 46 50 48 53 44 48 46 48 48 51 44 51 46 51 48 51 44 51 46 50 57 52 44 48 46 48 50 56 44 48 46 52 48 55 44 49 46 50 54 56 44 49 46 54 49 49
10-13-11:35:27:666  : 相机 Send: System.Byte[]，成功
10-13-11:49:33:447  : 相机 Send: System.Byte[]，成功
10-13-11:49:49:917  : 相机 Send: System.Byte[]，成功
10-13-13:12:36:238  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:12:36:239  : 相机 Send: System.Byte[]，成功
10-13-13:12:52:677  : 相机 Received: 67 67 68 49 44 48 46 51 54 51 44 52 52 46 48 48 49
10-13-13:12:52:677  : 相机 Send: System.Byte[]，成功
10-13-13:21:03:393  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:21:19:829  : 相机 Received: 67 67 68 49 44 48 46 51 56 54 44 52 52 46 50 54 56
10-13-13:24:43:975  : 相机 Send: System.Byte[]，成功
10-13-13:24:54:005  : 相机 Received: 84 50 59 52 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:25:04:011  : 相机 Received: 84 50 59 53 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:25:14:052  : 相机 Received: 67 67 68 49 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57
10-13-13:25:14:052  : 相机 Send: System.Byte[]，成功
10-13-13:31:33:642  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:31:33:643  : 相机 Send: System.Byte[]，成功
